People claiming Incapacity Benefits [%],
20100801-Annually,Annually,
LE4 2WE,52.68,-1.15,3
LE3 9QE,52.66,-1.175,5
LE4 0RR,52.66,-1.15,14
LE4 5PG,52.66,-1.125,16
LE4 7ZD,52.66,-1.1,8
LE5 1TL,52.66,-1.075,6
LE3 6PH,52.64,-1.2,16
LE3 6DG,52.64,-1.175,4
LE1 2EB,52.64,-1.125,16
LE5 3NW,52.64,-1.1,6
LE5 2BB,52.64,-1.075,5
LE5 2PW,52.64,-1.05,16
LE3 1ES,52.62,-1.175,11
LE3 2BQ,52.62,-1.15,4
LE1 9QD,52.62,-1.125,6
LE5 5TL,52.62,-1.1,6
LE5 6FP,52.62,-1.075,7
LE2 8TN,52.6,-1.15,9
LE2 6JE,52.6,-1.125,4
LE2 9UG,52.58,-1.15,3
