Average consumption of domestic gas [kWh],
20090101T000000,Annually,
LE4 2WE,52.68,-1.15,15206
LE3 9QE,52.66,-1.175,15634
LE4 0RR,52.66,-1.15,11444
LE4 5PG,52.66,-1.125,13575
LE4 7ZD,52.66,-1.1,17343
LE5 1TL,52.66,-1.075,15414
LE3 6PH,52.64,-1.2,11218
LE3 6DG,52.64,-1.175,22377
LE1 2EB,52.64,-1.125,2937
LE5 3NW,52.64,-1.1,16789
LE5 2BB,52.64,-1.075,19196
LE5 2PW,52.64,-1.05,12067
LE3 1ES,52.62,-1.175,15262
LE3 2BQ,52.62,-1.15,14307
LE1 9QD,52.62,-1.125,17.848
LE5 5TL,52.62,-1.1,23842
LE5 6FP,52.62,-1.075,20048
LE2 8TN,52.6,-1.15,13906
LE2 6JE,52.6,-1.125,18877
LE2 9UG,52.58,-1.15,14830
